,day,rating
0,2020-01-25,2.0
1,2020-02-24,2.0
2,2020-02-27,3.0
3,2020-03-03,1.0
4,2020-03-23,1.0
5,2020-05-27,1.0
6,2020-06-08,1.0
7,2020-06-10,1.0
8,2020-06-12,1.0
9,2020-07-20,1.0
10,2020-08-23,1.0
11,2020-09-23,1.0
12,2020-09-28,5.0
13,2020-10-01,1.0
14,2020-10-07,1.0
15,2020-10-09,1.0
16,2020-10-10,1.0
17,2020-10-13,1.0
18,2020-10-15,1.0
19,2020-10-17,1.0
20,2020-10-18,1.0
21,2020-10-20,1.0
22,2020-10-31,1.0
23,2020-11-01,1.0
24,2020-11-02,1.0
25,2020-11-14,5.0
26,2020-11-19,3.0
27,2020-11-25,2.0
28,2020-12-01,1.0
29,2020-12-18,4.0
30,2020-12-21,1.0
31,2020-12-23,1.0
32,2020-12-29,1.0
33,2020-12-31,1.0
34,2021-01-05,1.0
35,2021-01-07,1.0
36,2021-01-11,1.0
37,2021-01-13,1.0
38,2021-01-14,1.0
39,2021-01-15,1.0
40,2021-01-16,1.0
41,2021-01-17,1.0
42,2021-01-18,1.0
43,2021-01-19,1.0128205128205128
44,2021-01-20,1.0
45,2021-01-21,1.0
46,2021-01-22,1.0
47,2021-01-23,1.0
48,2021-01-24,1.0
49,2021-01-25,1.0
50,2021-01-26,1.3333333333333333
51,2021-01-27,1.0
52,2021-01-28,1.0
53,2021-01-30,4.0
54,2021-01-31,1.0
55,2021-02-01,1.0
56,2021-02-04,1.3333333333333333
57,2021-02-05,1.0
58,2021-02-06,1.0
59,2021-02-08,1.0
60,2021-02-09,1.0
61,2021-02-12,1.0
62,2021-02-13,1.0
63,2021-02-15,1.0
64,2021-02-17,1.0
65,2021-02-26,3.00390625
66,2021-02-27,3.185185185185185
67,2021-02-28,2.4210526315789473
68,2021-03-01,1.4615384615384615
69,2021-03-02,4.228094575799722
70,2021-03-03,2.8275862068965516
71,2021-03-04,2.4444444444444446
